Symbol,Average Return,Average Volatility,Sharpe Ratio,Price,Forward PE,Dividend Yield,Beta,Target Price
MMM,0.06427569698749189,0.22238005618147488,0.14860890657516201,117.49,11.094428,0.050300002,1.0,131.13
AOS,0.1865426615593387,0.2694172383457875,0.5764836078000253,69.05,23.171143,0.023,1.208548,58.33
ABT,0.1635467518185016,0.23358863809482164,0.5664603933798744,111.79,20.663588,0.019199999,0.709285,117.32
ABBV,0.21221283198076724,0.27145827350410123,0.6667131181904945,145.2,10.506513,0.0367,0.647383,158.66
ACN,0.18615827088052792,0.2413303946866137,0.6419839120864865,289.22,30.833689,0.0161,1.213706,307.18
ATVI,0.24347837848407736,0.3241700423668112,0.6547500100261205,75.24,17.914286,0.0064999997,0.51658,94.78
ADM,0.15726859438489027,0.2518458502884347,0.5004670684321317,82.28,18.742598,0.017,0.792925,100.08
ADBE,0.27967468064810297,0.31648343561481856,0.7850225721014963,379.33,27.749084,0.0,1.22955,368.77
ADP,0.1913526570963733,0.23410990391046682,0.6839719910498604,225.31,34.503826,0.0177,0.829034,249.35
AAP,0.13019787863390053,0.3232316291981989,0.30618859572982715,152.17,13.039417,0.0319,1.237656,204.67
AES,0.16434257032986993,0.31160879736052527,0.4271847632774604,26.24,15.619048,0.0248,0.924097,29.0
AFL,0.15356616674920237,0.25034397367223743,0.48868013461803406,69.39,13.552734,0.0255,0.885777,62.15
A,0.1986000693220382,0.25838329417328876,0.6477664504716305,154.55,35.447247,0.0061000003,1.040162,146.65
APD,0.1790223731075864,0.24149673188118526,0.6119930980517798,285.02,27.379442,0.025999999,0.801031,287.82
AKAM,0.12876047079058148,0.32320786584812755,0.3017637907431723,89.33,15.166385,0.0,0.688282,107.64
ALK,0.17201705231783684,0.3963780679615714,0.3551887041773624,53.47,11.002058,0.0,1.424465,62.27
ALB,0.24320089342194007,0.3869261845073847,0.5478379647466186,287.23,58.026268,0.0056,1.442151,306.17
ARE,0.1385677008967104,0.2311386916063929,0.464395035536758,167.79,53.951767,0.0332,0.938098,177.18
ALGN,0.3393464911138153,0.45467919905770576,0.6776611988367441,343.1,27.295149,0.0,1.764554,245.9
