Symbol,avg_return,volatility,sharpe_ratio,price,forward_pe,div_yield,beta
MMM,0,0,-inf,0,0,0,1
AOS,0,0,-inf,0,0,0,1
ABT,0,0,-inf,0,0,0,1
ABBV,0,0,-inf,0,0,0,1
ACN,0,0,-inf,0,0,0,1
ATVI,0,0,-inf,0,0,0,1
ADM,0,0,-inf,0,0,0,1
ADBE,0,0,-inf,0,0,0,1
ADP,0,0,-inf,0,0,0,1
AAP,0,0,-inf,0,0,0,1
AES,0,0,-inf,0,0,0,1
AFL,0,0,-inf,0,0,0,1
A,0,0,-inf,0,0,0,1
APD,0,0,-inf,0,0,0,1
AKAM,0,0,-inf,0,0,0,1
ALK,0,0,-inf,0,0,0,1
ALB,0,0,-inf,0,0,0,1
ARE,0,0,-inf,0,0,0,1
ALGN,0,0,-inf,0,0,0,1
ALLE,0,0,-inf,0,0,0,1
LNT,0,0,-inf,0,0,0,1
ALL,0,0,-inf,0,0,0,1
GOOGL,0,0,-inf,0,0,0,1
GOOG,0,0,-inf,0,0,0,1
MO,0,0,-inf,0,0,0,1
AMZN,0,0,-inf,0,0,0,1
AMCR,0,0,-inf,0,0,0,1
AMD,0,0,-inf,0,0,0,1
AEE,0,0,-inf,0,0,0,1
AAL,0,0,-inf,0,0,0,1
AEP,0,0,-inf,0,0,0,1
AXP,0,0,-inf,0,0,0,1
AIG,0,0,-inf,0,0,0,1
AMT,0,0,-inf,0,0,0,1
AWK,0,0,-inf,0,0,0,1
AMP,0,0,-inf,0,0,0,1
ABC,0,0,-inf,0,0,0,1
AME,0,0,-inf,0,0,0,1
AMGN,0,0,-inf,0,0,0,1
APH,0,0,-inf,0,0,0,1
ADI,0,0,-inf,0,0,0,1
ANSS,0,0,-inf,0,0,0,1
AON,0,0,-inf,0,0,0,1
APA,0,0,-inf,0,0,0,1
AAPL,0,0,-inf,0,0,0,1
AMAT,0,0,-inf,0,0,0,1
APTV,0,0,-inf,0,0,0,1
ACGL,0,0,-inf,0,0,0,1
ANET,0,0,-inf,0,0,0,1
AJG,0,0,-inf,0,0,0,1
AIZ,0,0,-inf,0,0,0,1
T,0,0,-inf,0,0,0,1
ATO,0,0,-inf,0,0,0,1
ADSK,0,0,-inf,0,0,0,1
AZO,0,0,-inf,0,0,0,1
AVB,0,0,-inf,0,0,0,1
AVY,0,0,-inf,0,0,0,1
BKR,0,0,-inf,0,0,0,1
BALL,0,0,-inf,0,0,0,1
BAC,0,0,-inf,0,0,0,1
BBWI,0,0,-inf,0,0,0,1
BAX,0,0,-inf,0,0,0,1
BDX,0,0,-inf,0,0,0,1
WRB,0,0,-inf,0,0,0,1
BRK.B,0,0,-inf,0,0,0,1
BBY,0,0,-inf,0,0,0,1
BIO,0,0,-inf,0,0,0,1
TECH,0,0,-inf,0,0,0,1
BIIB,0,0,-inf,0,0,0,1
BLK,0,0,-inf,0,0,0,1
BK,0,0,-inf,0,0,0,1
BA,0,0,-inf,0,0,0,1
BKNG,0,0,-inf,0,0,0,1
BWA,0,0,-inf,0,0,0,1
BXP,0,0,-inf,0,0,0,1
BSX,0,0,-inf,0,0,0,1
BMY,0,0,-inf,0,0,0,1
AVGO,0,0,-inf,0,0,0,1
BR,0,0,-inf,0,0,0,1
BRO,0,0,-inf,0,0,0,1
BF.B,0,0,-inf,0,0,0,1
CHRW,0,0,-inf,0,0,0,1
CDNS,0,0,-inf,0,0,0,1
CZR,0,0,-inf,0,0,0,1
CPT,0,0,-inf,0,0,0,1
CPB,0,0,-inf,0,0,0,1
COF,0,0,-inf,0,0,0,1
CAH,0,0,-inf,0,0,0,1
KMX,0,0,-inf,0,0,0,1
CCL,0,0,-inf,0,0,0,1
CARR,0,0,-inf,0,0,0,1
CTLT,0,0,-inf,0,0,0,1
CAT,0,0,-inf,0,0,0,1
CBOE,0,0,-inf,0,0,0,1
CBRE,0,0,-inf,0,0,0,1
CDW,0,0,-inf,0,0,0,1
CE,0,0,-inf,0,0,0,1
CNC,0,0,-inf,0,0,0,1
CNP,0,0,-inf,0,0,0,1
CDAY,0,0,-inf,0,0,0,1
CF,0,0,-inf,0,0,0,1
CRL,0,0,-inf,0,0,0,1
SCHW,0,0,-inf,0,0,0,1
CHTR,0,0,-inf,0,0,0,1
CVX,0,0,-inf,0,0,0,1
CMG,0,0,-inf,0,0,0,1
CB,0,0,-inf,0,0,0,1
CHD,0,0,-inf,0,0,0,1
CI,0,0,-inf,0,0,0,1
CINF,0,0,-inf,0,0,0,1
CTAS,0,0,-inf,0,0,0,1
CSCO,0,0,-inf,0,0,0,1
C,0,0,-inf,0,0,0,1
CFG,0,0,-inf,0,0,0,1
CLX,0,0,-inf,0,0,0,1
CME,0,0,-inf,0,0,0,1
CMS,0,0,-inf,0,0,0,1
KO,0,0,-inf,0,0,0,1
CTSH,0,0,-inf,0,0,0,1
CL,0,0,-inf,0,0,0,1
CMCSA,0,0,-inf,0,0,0,1
CMA,0,0,-inf,0,0,0,1
CAG,0,0,-inf,0,0,0,1
COP,0,0,-inf,0,0,0,1
ED,0,0,-inf,0,0,0,1
STZ,0,0,-inf,0,0,0,1
CEG,0,0,-inf,0,0,0,1
COO,0,0,-inf,0,0,0,1
CPRT,0,0,-inf,0,0,0,1
GLW,0,0,-inf,0,0,0,1
CTVA,0,0,-inf,0,0,0,1
CSGP,0,0,-inf,0,0,0,1
COST,0,0,-inf,0,0,0,1
CTRA,0,0,-inf,0,0,0,1
CCI,0,0,-inf,0,0,0,1
CSX,0,0,-inf,0,0,0,1
CMI,0,0,-inf,0,0,0,1
CVS,0,0,-inf,0,0,0,1
DHI,0,0,-inf,0,0,0,1
DHR,0,0,-inf,0,0,0,1
DRI,0,0,-inf,0,0,0,1
DVA,0,0,-inf,0,0,0,1
DE,0,0,-inf,0,0,0,1
DAL,0,0,-inf,0,0,0,1
XRAY,0,0,-inf,0,0,0,1
DVN,0,0,-inf,0,0,0,1
DXCM,0,0,-inf,0,0,0,1
FANG,0,0,-inf,0,0,0,1
DLR,0,0,-inf,0,0,0,1
DFS,0,0,-inf,0,0,0,1
DISH,0,0,-inf,0,0,0,1
DIS,0,0,-inf,0,0,0,1
DG,0,0,-inf,0,0,0,1
DLTR,0,0,-inf,0,0,0,1
D,0,0,-inf,0,0,0,1
DPZ,0,0,-inf,0,0,0,1
DOV,0,0,-inf,0,0,0,1
DOW,0,0,-inf,0,0,0,1
DTE,0,0,-inf,0,0,0,1
DUK,0,0,-inf,0,0,0,1
DD,0,0,-inf,0,0,0,1
DXC,0,0,-inf,0,0,0,1
EMN,0,0,-inf,0,0,0,1
ETN,0,0,-inf,0,0,0,1
