Symbol,Average Return,Average Volatility,Sharpe Ratio,Price,Forward PE,Dividend Yield,Beta,Target Price,low_risk,high_return
MRNA,0.8486226391795202,0.7947872278085764,1.0284445579718713,173.25,10.449337,0.0,1.693601,207.29,0.0,0.8185003014999545
TSLA,0.597868363660548,0.5773608303553134,0.9814318773886899,189.97999572753906,30.84091,0.0,2.127855,272.0,0.0,0.7144909502635052
ENPH,0.7288098240279688,0.8223384774863508,0.8482903368039317,222.92999267578125,82.566666,0.0,1.469786,308.92,0.0,0.6834638644165332
CZR,0.49732614501975053,0.6202242437056931,0.7514993323071102,54.9900016784668,124.97728,0.0,2.772291,71.75,0.0,0.6777923298401656
NVDA,0.5291048367300021,0.4457818858093364,1.1168618837704571,211.0,13.7369795,0.0011999999,1.712969,190.5,0.0015714815597927332,0.6737809364719677
CARR,0.5702973997865096,0.42806122398558066,1.2593277073151303,46.88999938964844,20.038462,0.0167,1.125734,44.72,0.03465570986769455,0.6595684472684312
AMD,0.5178975771681422,0.5845774214788793,0.8325151114162314,86.08999633789062,31.767527,0.0,2.0549,98.52,0.0,0.6372375480205431
SEDG,0.5521158949937668,0.6444604145192446,0.8082542282881712,316.0,50.0,0.0,1.281134,331.19,0.0,0.5698221931545177
PAYC,0.4588588537101055,0.4646451675076395,0.9203384509725581,337.44000244140625,61.802197,0.0,1.423728,397.0,0.0,0.5591060479592795
EPAM,0.3858764694570869,0.43800159266497984,0.8096966664094115,375.8500061035156,40.370567,0.0,1.677597,468.67,0.0,0.5275913723211232
GOOGL,0.20706275254760442,0.2724024007330167,0.6454961926921536,104.77999877929688,1.1019034,0.0,1.099484,132.22,0.0,0.5240831285122178
GOOG,0.20808634809392101,0.27293441409696934,0.647988304021076,105.22000122070312,1.1119096,0.0,1.099484,132.15,0.0,0.5234599725442399
DXCM,0.4512100133097012,0.47982669440164,0.8752784666121859,108.43000030517578,32.56156,0.0,1.035003,107.06,0.0,0.5103032118369162
AMZN,0.25873124860024255,0.3280384560494646,0.6935260315080186,103.38999938964844,1.457018,0.0,1.0,167.22,0.0,0.5053374944315473
ETSY,0.3957378741946665,0.6205679144553969,0.5873810516296452,147.5,38.01546,0.0,1.808769,118.04,0.0,0.5014830649145672
AVGO,0.36613741461100546,0.3465179757725726,0.9664992815165644,597.6199951171875,20.600483,0.0356,1.116433,644.8,0.09202197800551723,0.49772037384131845
MPWR,0.38374066023497844,0.3940488509289262,0.8945911640390004,456.29998779296875,66.41921,0.009,1.168386,527.67,0.019548169656015024,0.4906383399627759
FANG,0.3226086328537557,0.5135845105506335,0.5673469251382127,138.39999389648438,13.502439,0.0796,1.997789,174.8,0.07758031400109308,0.4893647402096002
ALGN,0.33902574270064717,0.4545899982015594,0.6770885939508371,343.1000061035156,27.295149,0.0,1.764554,245.9,0.0,0.4887132994730028
ON,0.3349151215030796,0.4574171517986823,0.6639171275380992,80.88999938964844,35.95111,0.0,1.752763,75.06,0.0,0.48108039682792925
LRCX,0.3411016927719874,0.3936490512585028,0.7871825215558788,529.25,16.3248,0.0179,1.383566,432.3,0.0328657797772972,0.4785952493348251
MSCI,0.3328266298055697,0.29077549332600505,1.0372214878273476,567.4299926757812,52.882572,0.0112,1.0,492.91,0.03851768892863003,0.4776395767796725
CTAS,0.278197935424531,0.2567579479340254,0.9618782881601418,442.4200134277344,43.37451,0.0101,1.380619,443.55,0.028492045676492266,0.4741475284426574
ANET,0.35637614403244283,0.43577947626493924,0.7461299160415805,131.9600067138672,11.729778,0.0,1.294399,142.34,0.0,0.4739045763019356
NFLX,0.3741952184572594,0.45567140406883394,0.7526633784796617,365.8999938964844,28.189524,0.0,1.221075,278.97,0.0,0.4668326191615644
ODFL,0.31466853833099206,0.29016731874720864,0.976817442986001,371.010009765625,42.16023,0.0044,1.057479,284.33,0.014339447825271908,0.4631894649003708
APA,0.11427448106161116,0.5658076126376972,0.14677505076367428,42.040000915527344,25.325302,0.0221,3.687177,53.81,0.010593256818335095,0.4631071911586985
AMAT,0.3074771813007082,0.38281453725576675,0.7216265695832245,119.9800033569336,17.988007,0.0119,1.512159,109.32,0.020557063678025258,0.4603983237003305
CDW,0.29875137564787624,0.28503599327356144,0.9385598379390727,201.0800018310547,25.166458,0.0119,1.120854,209.54,0.03724759279802671,0.4571201411716955
CDNS,0.30525849931434573,0.3001484013336125,0.9129832379667528,185.85000610351562,55.477615,0.0,1.147752,191.71,0.0,0.45360615489404327
AAPL,0.2805547585637646,0.287531779898321,0.867127517722366,154.5,29.096046,0.006,1.249815,183.59,0.016696277910053715,0.4455581690445929
STLD,0.30875051676528353,0.3824339795386354,0.7256742120714381,128.17999267578125,30.591883,0.0139,1.383566,90.5,0.02626990162856705,0.4444043827042511
NOW,0.36152405332971843,0.4119083186108882,0.801867790505816,472.2200012207031,66.69774,0.0,1.0,537.06,0.0,0.44413418711746644
SNPS,0.27403067879210236,0.2718228599310739,0.893238482074061,361.44000244140625,50.41004,0.0,1.242078,407.03,0.0,0.44383829943517317
ZBRA,0.2759926598061485,0.37969102570704205,0.6446415723313976,330.80999755859375,19.155182,0.0,1.662859,391.73,0.0,0.4436515832485459
MU,0.3115293617331228,0.4557784574705354,0.6149946693279236,62.40999984741211,5.8327103,0.0083,1.276344,65.92,0.014267785020619081,0.4406873913192192
FTNT,0.3193041879756114,0.3845427874538936,0.7491393867734725,53.0,12.183908,0.0,1.141488,70.45,0.0,0.44004386574406656
HCA,0.2515188358101079,0.3295964379070094,0.6683652202516212,258.0799865722656,16.990124,0.0104,1.685703,240.64,0.01871844510547721,0.439774306412617
MCHP,0.2633909905090938,0.3542629279492143,0.6553407997241414,85.33999633789062,11.378666,0.019199999,1.558585,82.88,0.03477322784162836,0.4361989080454469
NDAQ,0.2568879544536278,0.2376715513475425,0.9494611920524297,60.54999923706055,8.468532,0.013300001,0.939572,65.84,0.05955858987108535,0.4359102597373163
TDG,0.2747100604713101,0.3286903400557681,0.7407641503421101,713.5,42.16903,0.0,1.434414,714.9,0.0,0.4336920774853117
BBY,0.27795763549453,0.3961733863435967,0.6227818526060819,90.31999969482422,11.361007,0.0535,1.492999,78.13,0.09045008253997557,0.430439161569378
IR,0.2830993510596205,0.368140639849234,0.6841714383082793,57.11000061035156,27.723303,0.0016,1.446941,53.23,0.0030036919942243246,0.43029221079862534
ADBE,0.27927759412480424,0.31642304781213726,0.7839174669660388,379.3299865722656,27.749084,0.0,1.22955,368.77,0.0,0.4265847355734379
MSFT,0.27939521604122636,0.271940772210855,0.9125780368622507,258.3500061035156,30.940119,0.0109,0.960206,307.58,0.04174339390945093,0.4246979146423261
TRGP,0.22215225985597642,0.5336131364366901,0.3577952018510485,73.41000366210938,44.222893,0.0208,2.364038,93.89,0.016488546345998167,0.4235615147640247
IDXX,0.278712363089938,0.3005553405894354,0.8234234753917308,482.4100036621094,54.75709,0.0,1.140383,479.63,0.0,0.42173167167007525
SPGI,0.25586160170210387,0.2559943717509399,0.8774941424353376,372.9100036621094,26.847372,0.0109,1.075534,383.71,0.039588763456544836,0.41843254804706426
TER,0.2619817235335792,0.3728925131979053,0.6188209078278583,107.98999786376953,19.215303,0.0053,1.519896,103.03,0.009351436597881551,0.4171530142021831
KLAC,0.30735669920137265,0.3626038024891166,0.7615161708499203,408.2699890136719,24.157988,0.017,1.0,361.65,0.04688312666139305,0.41426041891207377
RCL,0.21192782852660608,0.5092197315192835,0.3548562189317352,68.44000244140625,31.685184,0.0,2.308032,64.57,0.0,0.41405045647394834
SIVB,0.2463738119261495,0.42117754360621706,0.5108196654783231,323.2099914550781,12.537237,0.0,1.720338,331.71,0.0,0.41333711726426425
NXPI,0.26840547064696724,0.39662767477465183,0.5979850770309517,190.9499969482422,17.929577,0.0229,1.477523,187.35,0.03907673037713999,0.4127068035718632
CDAY,0.3036825142530181,0.4815613263199197,0.5657731619373777,76.19999694824219,119.0625,0.0,1.442876,0.0,0.0,0.4109632795402314
MCO,0.24703657396008624,0.27680636765464584,0.7796371730692893,324.3599853515625,26.917841,0.0107,1.235814,281.44,0.0312791246253947,0.41045713799083267
CSGP,0.25782954925917817,0.3173694334705942,0.7139991611256856,76.58000183105469,5.2777395,0.0,1.0,89.82,0.0,0.4096096185353899
MOH,0.30426901588818744,0.3732390415261472,0.7315445211130729,301.07000732421875,18.561653,0.0,1.0,366.69,0.0,0.4092183145959263
WST,0.2648716700985633,0.27485702046578997,0.8500551658035743,272.8800048828125,35.029526,0.0028,1.0,364.83,0.010187114723338499,0.40815633741606006
APTV,0.20968508627950086,0.3782265175925656,0.4718258450548386,115.7300033569336,23.0998,0.0,1.991893,121.91,0.0,0.40705509577048976
AMP,0.24592277269338259,0.33403128714746944,0.6427383929588563,354.1000061035156,15.709848,0.0167,1.422991,322.73,0.03513396552331653,0.4065390328628371
KEYS,0.27099388705106797,0.30550532618201387,0.784817240515082,181.39999389648438,28.657187,0.0,1.0549,195.38,0.0,0.4049294436897315
MGM,0.22387129061458194,0.4479250666126386,0.430079191765658,41.709999084472656,245.35294,0.00029999999,2.051952,50.46,0.00032639889206750584,0.40396183590599993
LYV,0.2761881551911741,0.37672649753532816,0.6502333040005044,79.80000305175781,181.36365,0.0,1.341562,115.15,0.0,0.4033996952050045
CPRT,0.2375966286752588,0.2660548304824047,0.7756618750610017,68.63999938964844,19.066668,0.0,1.170596,149.71,0.0,0.40147979910580806
TECH,0.2268075461550599,0.2790306775550264,0.7009247437398732,79.16000366210938,11.117978,0.0042,1.275239,465.26,0.011803362648372034,0.3991015043363353
ORLY,0.25036119086190034,0.2653633145619061,0.8257854000257424,794.8400268554688,29.22206,0.0,1.0,819.26,0.0,0.39718181989408696
POOL,0.2696042140161668,0.28292280976486145,0.8425484471189955,403.57000732421875,30.759909,0.013099999,0.868091,349.78,0.05333816203037961,0.3966228662524044
URI,0.3074882664657523,0.42367266248536134,0.6520605432762795,455.07000732421875,19.258148,0.0,1.0,362.07,0.0,0.39454145649963057
